iter	Passed	Remaining
0	208	417645
1	430	429807
2	602	400885
3	737	367811
4	896	357612
5	1078	358501
6	1234	351430
7	1349	336071
8	1499	331713
9	1649	328320
10	1772	320506
11	1930	319777
12	2077	317536
13	2231	316526
14	2355	311722
15	2522	312828
16	2679	312543
17	2816	310135
18	2962	308869
19	3091	306105
20	3233	304751
21	3356	301743
22	3495	300481
23	3643	299966
24	3813	301255
25	3993	303198
26	4130	301821
27	4288	301998
28	4440	301772
29	4599	302049
30	4800	304923
31	4999	307489
32	5167	307996
33	5354	309626
34	5506	309146
35	5708	311432
36	5852	310480
37	5976	308579
38	6116	307546
39	6267	307109
40	6450	308186
41	6566	306143
42	6683	304169
43	6817	303088
44	6944	301708
45	7073	300463
46	7231	300486
47	7401	300974
48	7554	300776
49	7645	298157
50	7818	298793
51	7992	299393
52	8125	298489
53	8285	298586
54	8405	297244
55	8523	295877
56	8695	296409
57	8823	295449
58	8930	293799
59	9080	293597
60	9250	294047
61	9451	295446
62	9570	294247
63	9687	293058
64	9788	291402
65	9967	292075
66	10129	292255
67	10283	292163
68	10425	291760
69	10553	290974
70	10717	291172
71	10881	291378
72	11052	291749
73	11178	290949
74	11350	291336
75	11531	291929
76	11719	292692
77	11858	292195
78	12014	292155
79	12184	292429
80	12353	292667
81	12517	292782
82	12684	292956
83	12876	293707
84	13038	293738
85	13196	293701
86	13380	294218
87	13560	294636
88	13657	293254
89	13812	293131
90	13989	293473
91	14146	293393
92	14301	293251
93	14484	293693
94	14650	293791
95	14822	293974
96	14966	293628
97	15135	293752
98	15326	294300
99	15491	294337
100	15587	293067
101	15750	293088
102	15934	293471
103	16086	293262
104	16292	294042
105	16431	293596
106	16600	293688
107	16768	293754
108	16943	293953
109	17129	294321
110	17297	294373
111	17478	294631
112	17630	294414
113	17798	294453
114	17965	294482
115	18059	293316
116	18242	293600
117	18342	292544
118	18502	292469
119	18668	292469
120	18833	292466
121	19032	292970
122	19198	292971
123	19371	293078
124	19541	293128
125	19735	293527
126	19881	293212
127	20084	293738
128	20256	293804
129	20423	293788
130	20574	293534
131	20777	294034
132	20870	292974
133	21035	292931
134	21234	293345
135	21408	293417
136	21561	293202
137	21741	293355
138	21859	292670
139	22068	293198
140	22175	292370
141	22315	291986
142	22509	292307
143	22684	292375
144	22881	292730
145	23036	292528
146	23223	292736
147	23423	293110
148	23592	293087
149	23778	293273
150	23953	293314
151	24113	293168
152	24304	293396
153	24471	293341
154	24657	293508
155	24841	293640
156	24998	293457
157	25179	293544
158	25357	293608
159	25536	293665
160	25718	293770
161	25897	293827
162	26092	294066
163	26279	294206
164	26443	294087
165	26610	293995
166	26786	294012
167	26968	294086
168	27150	294159
169	27321	294107
170	27479	293922
171	27662	293995
172	27861	294240
173	28038	294247
174	28219	294286
175	28389	294215
176	28606	294630
177	28768	294469
178	28904	294047
179	29033	293564
180	29185	293308
181	29380	293486
182	29566	293565
183	29742	293550
184	29916	293501
185	30112	293673
186	30287	293638
187	30485	293824
188	30686	294038
189	30844	293831
190	31030	293895
191	31195	293754
192	31392	293914
193	31551	293717
194	31716	293579
195	31888	293504
196	32093	293728
197	32266	293661
198	32437	293568
199	32625	293629
200	32820	293748
201	33013	293854
202	33227	294133
203	33414	294180
204	33598	294193
205	33759	293999
206	33949	294067
207	34136	294095
208	34325	294149
209	34507	294139
210	34684	294080
211	34845	293887
212	35007	293702
213	35207	293835
214	35370	293656
215	35556	293667
216	35700	293334
217	35878	293281
218	36078	293407
219	36264	293412
220	36443	293360
221	36642	293473
222	36844	293601
223	37036	293649
224	37217	293605
225	37329	293019
226	37486	292791
227	37654	292648
228	37809	292404
229	38007	292493
230	38192	292481
231	38372	292421
232	38565	292469
233	38776	292644
234	38936	292439
235	39130	292487
236	39301	292354
237	39466	292184
238	39656	292195
239	39830	292089
240	40025	292136
241	40191	291972
242	40351	291761
